player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures,week,year
Kerry Hyder,9045,DI,SF,1,0,0,28,54.4,0,0,4,100.0,0.0,0,0,0.0,0,4,4,0,0,59.2,0,0,1,100.0,0.0,0,0.0,0,1,1,0,1,2022
Mike Pennel,9316,DI,CHI,1,0,0,6,56.0,0,0,5,100.0,0.0,0,0,0.0,0,5,5,0,0,,0,0,0,,,0,,0,0,0,0,1,2022
Dante Fowler Jr.,9436,ED,DAL,1,0,0,9,64.4,0,1,10,100.0,20.0,2,0,5.0,0,10,10,1,0,73.8,0,1,4,100.0,50.0,2,12.5,0,4,4,1,1,2022
Leonard Williams,9439,DI,NYG,1,0,0,21,57.9,0,1,29,100.0,10.3,3,0,1.7,0,32,32,1,0,64.5,0,0,12,100.0,25.0,3,0.0,0,15,15,0,1,2022
Arik Armstead,9450,DI,SF,1,0,0,28,56.0,0,2,16,100.0,12.5,2,0,6.3,0,16,16,2,0,59.3,0,2,9,100.0,22.2,2,11.1,0,9,9,2,1,2022
Bud Dupree,9455,ED,TEN,1,0,0,31,64.1,0,2,24,92.6,16.7,4,0,8.3,1,27,25,3,0,60.5,0,2,13,100.0,15.4,2,7.7,0,13,13,2,1,2022
Shaq Thompson,9458,LB,CAR,1,0,0,5,59.4,1,0,1,3.0,100.0,1,0,50.0,0,33,1,1,0,59.4,0,0,1,6.7,0.0,0,0.0,0,15,1,0,1,2022
Preston Smith,9471,ED,GB,1,0,0,12,59.7,3,2,27,90.0,18.5,5,0,9.3,0,30,27,5,0,61.2,2,0,13,92.9,23.1,3,7.7,0,14,13,2,1,2022
Eric Kendricks,9478,LB,MIN,1,0,0,18,60.0,0,1,1,2.3,0.0,0,0,50.0,0,43,1,1,0,,0,0,0,0.0,,0,,0,16,0,0,1,2022
Denzel Perryman,9481,LB,LV,1,0,0,23,59.9,0,0,0,5.9,,0,0,,0,17,1,0,0,,0,0,0,0.0,,0,,0,5,0,0,1,2022
Jordan Phillips,9485,DI,BUF,1,0,0,4,90.0,1,3,25,96.3,24.0,6,1,16.0,2,27,26,6,0,91.3,1,2,15,100.0,33.3,5,23.3,2,16,16,5,1,2022
Markus Golden,9491,ED,ARZ,1,0,0,1,54.1,2,1,16,80.0,12.5,2,0,9.4,0,20,16,3,0,56.6,0,1,10,90.9,10.0,1,5.0,0,11,10,1,1,2022
Randy Gregory,9493,ED,DEN,1,0,0,10,73.2,0,4,13,77.8,30.8,4,1,15.4,0,18,14,4,0,63.9,0,2,8,81.8,25.0,2,12.5,0,11,9,2,1,2022
Frank Clark,9496,ED,KC,1,0,0,16,48.0,0,2,22,95.8,0.0,0,0,4.5,0,24,23,2,0,51.2,0,1,8,100.0,0.0,0,6.3,0,8,8,1,1,2022
P.J. Williams,9511,S,NO,1,0,0,20,57.1,0,0,2,15.4,0.0,0,0,0.0,0,13,2,0,0,,0,0,0,0.0,,0,,0,3,0,0,1,2022
Jordan Hicks,9517,LB,MIN,1,0,0,18,90.4,0,0,1,2.3,100.0,1,0,100.0,1,43,1,1,0,58.4,0,0,1,6.3,0.0,0,0.0,0,16,1,0,1,2022
Danielle Hunter,9521,ED,MIN,1,1,1,18,72.1,0,2,33,97.1,21.2,7,1,6.1,1,34,33,3,0,57.2,0,1,13,100.0,23.1,3,3.8,0,13,13,1,1,2022
Carl Davis,9523,DI,NE,1,0,0,19,65.2,0,1,8,100.0,12.5,1,1,6.3,0,8,8,1,0,69.3,0,1,3,100.0,33.3,1,16.7,0,3,3,1,1,2022
Henry Anderson,9526,ED,CAR,1,0,0,5,69.0,0,1,10,100.0,20.0,2,0,5.0,0,12,12,1,0,67.1,0,1,6,100.0,33.3,2,8.3,0,7,7,1,1,2022
Angelo Blackson,9533,DI,CHI,1,0,0,6,54.4,0,1,26,100.0,3.8,1,1,1.9,0,26,26,1,0,56.3,0,1,15,100.0,6.7,1,3.3,0,15,15,1,1,2022
Za'Darius Smith,9555,ED,MIN,1,0,0,18,65.2,1,2,30,96.8,13.3,4,0,8.3,1,31,30,4,0,63.2,1,1,12,100.0,25.0,3,16.7,1,12,12,3,1,2022
Kwon Alexander,9557,LB,NYJ,1,0,0,22,58.7,0,0,1,5.3,0.0,0,0,0.0,0,19,1,0,0,,0,0,0,0.0,,0,,0,4,0,0,1,2022
Damien Wilson,9560,LB,CAR,1,0,0,5,76.6,0,0,1,7.1,0.0,0,0,100.0,1,14,1,1,0,,0,0,0,0.0,,0,,0,4,0,0,1,2022
Grady Jarrett,9570,DI,ATL,1,0,0,2,75.2,0,3,32,100.0,15.6,5,0,10.9,2,34,34,5,0,77.0,0,2,18,100.0,16.7,3,11.1,1,19,19,3,1,2022
Bobby McCain,9578,S,WAS,1,0,0,32,67.1,0,1,1,2.0,0.0,0,1,50.0,0,50,1,1,0,,0,0,0,0.0,,0,,0,24,0,0,1,2022
Christian Ringo,9643,DI,NO,1,0,0,20,69.3,0,0,10,100.0,20.0,2,0,0.0,0,11,11,0,0,68.6,0,0,3,100.0,33.3,1,0.0,0,3,3,0,1,2022
Rakeem Nunez-Roches,9650,DI,TB,1,0,0,30,65.4,0,1,14,93.3,14.3,2,0,3.6,0,15,14,1,0,61.5,0,1,8,100.0,12.5,1,6.3,0,8,8,1,1,2022
DeShawn Williams,9891,DI,DEN,1,0,0,10,62.4,1,0,18,100.0,16.7,3,0,2.8,0,20,20,1,0,53.3,1,0,5,100.0,20.0,1,10.0,0,5,5,1,1,2022
Alex Singleton,9994,LB,DEN,1,0,0,10,71.0,0,1,2,6.1,50.0,1,0,25.0,0,33,2,1,0,63.1,0,1,1,7.7,100.0,1,50.0,0,13,1,1,1,2022
Bryce Callahan,10000,CB,LAC,1,0,0,27,74.3,1,0,2,5.4,50.0,1,0,25.0,0,37,2,1,0,74.3,1,0,2,7.7,50.0,1,25.0,0,26,2,1,1,2022
Efe Obada,10235,ED,WAS,1,0,0,32,52.0,0,0,7,88.9,0.0,0,0,0.0,0,9,8,0,0,55.0,0,0,2,100.0,0.0,0,0.0,0,3,3,0,1,2022
Joey Bosa,10637,ED,LAC,1,0,0,27,75.8,0,2,37,97.5,21.6,8,0,8.1,2,40,39,4,0,58.0,0,2,25,100.0,12.0,3,4.0,0,26,26,2,1,2022
DeForest Buckner,10641,DI,IND,1,0,0,14,74.1,0,3,37,100.0,18.9,7,0,4.1,0,38,38,3,0,86.6,0,3,9,100.0,55.6,5,16.7,0,10,10,3,1,2022
Leonard Floyd,10643,ED,LA,1,0,0,26,52.3,0,0,27,84.4,3.7,1,0,0.0,0,32,27,0,0,51.0,0,0,9,81.8,0.0,0,0.0,0,11,9,0,1,2022
Eli Apple,10644,CB,CIN,1,0,0,7,55.0,0,0,1,2.4,0.0,0,0,0.0,0,42,1,0,0,,0,0,0,0.0,,0,,0,18,0,0,1,2022
Sheldon Rankins,10646,DI,NYJ,1,0,0,22,49.8,0,1,18,100.0,5.6,1,0,2.8,0,18,18,1,0,51.6,0,1,7,100.0,14.3,1,7.1,0,7,7,1,1,2022
William Jackson III,10658,CB,WAS,1,0,0,32,84.3,0,2,2,4.0,50.0,1,1,50.0,0,50,2,2,0,,0,0,0,0.0,,0,,0,24,0,0,1,2022
Kenny Clark,10661,DI,GB,1,0,0,12,90.6,2,3,24,100.0,20.8,5,0,14.6,1,25,25,6,0,92.1,2,2,12,100.0,33.3,4,25.0,1,12,12,5,1,2022
Emmanuel Ogbah,10666,ED,MIA,1,0,0,17,58.8,1,0,24,100.0,4.2,1,0,6.3,1,26,26,2,0,66.9,1,0,12,100.0,8.3,1,12.5,1,13,13,2,1,2022
Myles Jack,10670,LB,PIT,1,0,0,25,70.0,0,1,3,5.0,33.3,1,0,16.7,0,60,3,1,0,70.8,0,1,2,6.1,50.0,1,25.0,0,33,2,1,1,2022
Chris Jones,10671,DI,KC,1,1,0,16,78.9,0,6,30,100.0,23.3,7,0,10.0,0,31,31,6,0,55.3,0,2,12,100.0,16.7,2,8.3,0,12,12,2,1,2022
Xavien Howard,10672,CB,MIA,1,0,0,17,58.6,0,0,1,2.9,0.0,0,1,0.0,0,35,1,0,0,58.6,0,0,1,5.9,0.0,0,0.0,0,17,1,0,1,2022
Austin Johnson,10677,DI,LAC,1,1,0,27,66.2,0,1,23,100.0,13.0,3,0,2.2,0,25,25,1,1,67.7,0,1,11,100.0,18.2,2,4.5,0,12,12,1,1,2022
Jihad Ward,10678,ED,NYG,1,0,0,21,61.7,0,1,26,78.4,7.7,2,0,1.9,0,37,29,1,0,62.9,0,1,12,88.2,8.3,1,4.2,0,17,15,1,1,2022
A'Shawn Robinson,10680,DI,LA,1,0,0,26,50.8,0,0,23,100.0,0.0,0,0,0.0,0,23,23,0,0,53.8,0,0,5,100.0,0.0,0,0.0,0,5,5,0,1,2022
Jarran Reed,10683,DI,GB,1,0,0,12,52.8,0,1,25,100.0,4.0,1,0,2.0,0,26,26,1,0,54.9,0,1,14,100.0,7.1,1,3.6,0,14,14,1,1,2022
Vonn Bell,10695,S,CIN,1,0,0,7,62.4,1,0,5,11.6,0.0,0,0,10.0,0,43,5,1,0,54.6,0,0,3,16.7,0.0,0,0.0,0,18,3,0,1,2022
Adam Gotsis,10697,DI,JAX,1,0,0,15,53.0,0,0,12,100.0,0.0,0,0,0.0,0,14,14,0,0,54.1,0,0,6,100.0,0.0,0,0.0,0,6,6,0,1,2022
Carl Nassib,10699,ED,TB,1,0,0,30,58.6,0,0,7,64.3,14.3,1,0,0.0,0,14,9,0,0,60.2,0,0,5,75.0,20.0,1,0.0,0,8,6,0,1,2022
Maliek Collins,10701,DI,HST,1,1,0,13,79.3,0,0,28,100.0,7.1,2,1,0.0,0,28,28,0,0,52.4,0,0,10,100.0,0.0,0,0.0,0,10,10,0,1,2022
Yannick Ngakoue,10703,ED,IND,1,0,0,14,52.9,1,2,32,91.7,9.4,3,1,4.7,0,36,33,3,0,56.1,0,0,9,100.0,11.1,1,0.0,0,10,10,0,1,2022
Jonathan Bullard,10706,DI,MIN,1,0,0,18,52.5,0,0,19,100.0,0.0,0,0,0.0,0,19,19,0,0,53.9,0,0,6,100.0,0.0,0,0.0,0,6,6,0,1,2022
Kendall Fuller,10718,CB,WAS,1,0,0,32,54.9,0,1,2,4.0,50.0,1,2,25.0,0,50,2,1,0,57.9,0,0,1,4.2,0.0,0,0.0,0,24,1,0,1,2022
Nick Vigil,10721,LB,ARZ,1,0,0,1,58.1,0,0,3,13.6,0.0,0,0,0.0,0,22,3,0,0,59.2,0,0,1,11.1,0.0,0,0.0,0,9,1,0,1,2022
Javon Hargrave,10723,DI,PHI,1,0,0,24,75.2,1,1,25,100.0,20.0,5,1,4.0,0,26,26,2,0,76.9,0,1,12,100.0,25.0,3,4.2,0,13,13,1,1,2022
Hassan Ridgeway,10750,DI,SF,1,0,0,28,69.5,0,0,3,100.0,0.0,0,0,0.0,0,3,3,0,0,60.5,0,0,1,100.0,0.0,0,0.0,0,1,1,0,1,2022
David Onyemata,10754,DI,NO,1,0,0,20,62.7,0,1,24,100.0,12.5,3,0,2.1,0,25,25,1,0,64.0,0,0,6,100.0,16.7,1,0.0,0,6,6,0,1,2022
Andrew Billings,10756,DI,LV,1,0,0,23,53.3,0,1,15,100.0,6.7,1,0,3.3,0,15,15,1,0,56.0,0,0,4,100.0,0.0,0,0.0,0,4,4,0,1,2022
Deon Bush,10758,S,KC,1,0,0,16,59.5,0,0,1,8.3,0.0,0,0,0.0,0,12,1,0,0,59.5,0,0,1,10.0,0.0,0,0.0,0,10,1,0,1,2022
Dean Lowry,10771,DI,GB,1,0,0,12,63.0,2,1,16,100.0,12.5,2,0,9.4,0,17,17,3,0,66.9,1,0,3,100.0,33.3,1,16.7,0,3,3,1,1,2022
Matthew Judon,10780,ED,NE,1,0,0,19,67.9,3,0,32,100.0,12.5,4,0,7.8,1,32,32,4,0,69.5,0,0,10,100.0,20.0,2,10.0,1,10,10,1,1,2022
Quinton Jefferson,10781,DI,SEA,1,0,0,29,59.8,0,5,29,100.0,10.3,3,0,8.6,0,31,31,5,0,59.4,0,2,13,100.0,15.4,2,7.7,0,15,15,2,1,2022
Matt Ioannidis,10786,DI,CAR,1,0,0,5,57.7,0,1,24,100.0,12.5,3,0,2.1,0,26,26,1,0,50.4,0,0,9,100.0,0.0,0,0.0,0,10,10,0,1,2022
D.J. Reader,10800,DI,CIN,1,0,0,7,76.3,2,1,25,100.0,12.0,3,0,6.0,0,26,26,3,0,90.4,2,1,9,100.0,33.3,3,16.7,0,9,9,3,1,2022
Kamu Grugier-Hill,10842,LB,HST,1,0,0,13,52.5,0,1,5,8.9,20.0,1,0,10.0,0,56,5,1,0,58.8,0,0,1,4.5,0.0,0,0.0,0,22,1,0,1,2022
Jayron Kearse,10878,S,DAL,1,0,0,9,59.4,0,0,1,5.0,0.0,0,0,0.0,0,20,1,0,0,59.4,0,0,1,11.1,0.0,0,0.0,0,9,1,0,1,2022
Mike Hilton,10898,CB,CIN,1,0,0,7,90.5,1,0,2,5.0,100.0,2,0,25.0,0,40,2,1,0,,0,0,0,0.0,,0,,0,18,0,0,1,2022
Michael Pierce,11101,DI,BLT,1,0,0,3,76.1,1,3,29,93.5,17.2,5,0,6.9,0,31,29,4,0,75.5,1,3,14,100.0,21.4,3,14.3,0,14,14,4,1,2022
Morgan Fox,11184,DI,LAC,1,0,0,27,66.3,1,0,24,100.0,16.7,4,0,6.3,1,24,24,2,0,65.4,1,0,17,100.0,17.6,3,2.9,0,17,17,1,1,2022
Cory Littleton,11190,LB,CAR,1,0,0,5,59.0,0,0,1,7.1,0.0,0,0,0.0,0,14,1,0,0,59.0,0,0,1,20.0,0.0,0,0.0,0,5,1,0,1,2022
Roy Robertson-Harris,11341,DI,JAX,1,1,0,15,55.0,0,0,21,100.0,0.0,0,1,0.0,0,26,26,0,1,66.0,0,0,4,100.0,0.0,0,0.0,0,5,5,0,1,2022
Myles Garrett,11756,ED,CLV,1,0,0,8,94.5,0,4,28,100.0,28.6,8,0,14.3,2,30,30,6,0,92.3,0,3,9,100.0,44.4,4,27.8,1,9,9,4,1,2022
Solomon Thomas,11758,DI,NYJ,1,0,0,22,58.8,0,0,11,100.0,9.1,1,0,0.0,0,12,12,0,0,66.4,0,0,4,100.0,25.0,1,0.0,0,4,4,0,1,2022
Jamal Adams,11761,S,SEA,1,0,0,29,60.0,1,0,1,11.1,0.0,0,0,50.0,0,9,1,1,0,60.0,1,0,1,50.0,0.0,0,50.0,0,2,1,1,1,2022
Haason Reddick,11768,ED,PHI,1,0,0,24,45.4,0,0,21,82.1,0.0,0,0,0.0,0,28,23,0,0,48.6,0,0,10,85.7,0.0,0,0.0,0,14,12,0,1,2022
Derek Barnett,11769,ED,PHI,1,0,0,24,53.6,0,0,5,100.0,0.0,0,0,0.0,0,5,5,0,0,58.8,0,0,1,100.0,0.0,0,0.0,0,1,1,0,1,2022
Marlon Humphrey,11771,CB,BLT,1,0,0,3,74.4,1,0,4,6.1,25.0,1,1,12.5,0,66,4,1,0,60.0,0,0,1,3.0,0.0,0,0.0,0,33,1,0,1,2022
Jonathan Allen,11772,DI,WAS,1,0,0,32,70.0,0,3,36,97.5,13.9,5,0,9.7,2,40,39,5,0,78.4,0,2,17,100.0,17.6,3,11.8,1,19,19,3,1,2022
Charles Harris,11777,ED,DET,1,0,0,11,50.9,0,2,31,82.1,6.5,2,0,3.2,0,39,32,2,0,50.0,0,0,9,69.2,0.0,0,0.0,0,13,9,0,1,2022
Jabrill Peppers,11780,S,NE,1,0,0,19,54.2,0,0,3,23.1,0.0,0,0,0.0,0,13,3,0,0,59.4,0,0,1,33.3,0.0,0,0.0,0,3,1,0,1,2022
T.J. Watt,11785,ED,PIT,1,2,0,25,84.8,0,1,39,95.6,17.9,7,1,3.8,1,45,43,2,1,85.9,0,1,27,93.9,22.2,6,1.9,0,33,31,1,1,2022
Budda Baker,11791,S,ARZ,1,0,0,1,52.5,0,1,5,13.6,0.0,0,0,10.0,0,44,6,1,0,54.7,0,1,2,16.7,0.0,0,25.0,0,18,3,1,1,2022
Marcus Williams,11797,S,BLT,1,0,0,3,55.0,0,1,2,3.0,50.0,1,0,25.0,0,66,2,1,0,55.0,0,1,2,6.1,50.0,1,25.0,0,33,2,1,1,2022
Sidney Jones,11798,CB,SEA,1,0,0,29,60.0,0,0,1,9.1,0.0,0,0,0.0,0,11,1,0,0,,0,0,0,0.0,,0,,0,5,0,0,1,2022
Justin Evans,11805,S,NO,1,0,0,20,58.5,0,0,1,3.2,0.0,0,1,0.0,0,31,1,0,0,,0,0,0,0.0,,0,,0,8,0,0,1,2022
DeMarcus Walker,11806,ED,TEN,1,0,0,31,53.4,0,0,8,100.0,0.0,0,0,0.0,0,9,9,0,0,56.8,0,0,2,100.0,0.0,0,0.0,0,2,2,0,1,2022
Raekwon McMillan,11809,LB,NE,1,0,0,19,54.5,0,0,2,8.0,0.0,0,0,0.0,0,25,2,0,0,59.4,0,0,1,12.5,0.0,0,0.0,0,8,1,0,1,2022
Dalvin Tomlinson,11810,DI,MIN,1,0,0,18,86.7,0,3,25,100.0,24.0,6,0,6.0,0,25,25,3,0,91.1,0,3,9,100.0,55.6,5,16.7,0,9,9,3,1,2022
Zach Cunningham,11812,LB,TEN,1,0,0,31,56.0,0,0,2,10.5,0.0,0,0,0.0,0,19,2,0,0,,0,0,0,0.0,,0,,0,5,0,0,1,2022
Larry Ogunjobi,11820,DI,PIT,1,0,0,25,68.6,1,2,32,100.0,12.5,4,1,4.7,0,36,36,3,0,59.4,1,1,21,100.0,9.5,2,4.8,0,24,24,2,1,2022
Dawuane Smoot,11823,ED,JAX,1,0,0,15,69.7,1,0,22,100.0,9.1,2,1,2.3,0,24,24,1,0,76.5,1,0,13,100.0,15.4,2,3.8,0,14,14,1,1,2022
Chris Wormley,11829,DI,PIT,1,0,0,25,61.9,0,3,28,100.0,10.7,3,0,5.4,0,30,30,3,0,56.8,0,0,13,100.0,7.7,1,0.0,0,15,15,0,1,2022
